Survey ResponseID,frequency,monetary,avg_order_value,total_quantity,recency_days,tenure_days,avg_inter_purchase_days,category_diversity,category_entropy,spend_trend_ratio,future_6m_spend
R_1hLuhNOCjRZOPoe,18,151.87,8.44,19.0,11.0,169.0,18.78,13,3.4138,0.3318,388.42
R_1hM4zTeS8PBpbvb,257,1553.09,6.04,287.0,25.0,155.0,6.74,67,5.0556,1.0184,293.84000000000003
R_1hM9pt4qllIzGbl,26,727.09,27.96,26.0,2.0,178.0,13.69,19,4.1329,0.1754,648.49
R_1hMV4AHCk04WO5V,79,2044.22,25.88,106.0,1.0,179.0,4.47,41,4.9006,1.548,1947.14
R_1hMtgyDCtBWFPX4,87,520.45,5.98,111.0,14.0,166.0,9.76,38,4.5988,0.7874,889.08
R_1hR9j74rTpO8hbI,3,87.45,29.15,3.0,24.0,156.0,156.0,3,1.585,1.6572,131.45
R_1hRPPtGYokPL3IK,3,44.93,14.98,3.0,160.0,20.0,10.0,2,0.9183,0.0,1383.24
R_1hSy03tFnfe480c,4,61.67,15.42,4.0,180.0,0.0,180.0,3,1.5,0.0,0.0
R_1hT2aJkf3L95zWl,10,113.0,11.3,10.0,40.0,140.0,28.0,8,2.9219,0.1294,263.15
R_1hVXOHhrUPDIoxW,153,3179.77,20.78,178.0,2.0,178.0,5.39,78,5.6665,0.6155,1727.92
R_1hy7k18o81Hiy9y,2,60.93,30.46,2.0,179.0,1.0,1.0,2,1.0,0.0,0.0
R_1hyGhuYSTYCejtk,9,357.02,39.67,9.0,29.0,151.0,75.5,6,2.281,4.9543,43.98
R_1i2QZkwVzyMHerI,4,79.94,19.98,4.0,6.0,174.0,58.0,3,1.5,1.0503,45.98
R_1i3QXMAa54UxSLA,188,3679.23,19.57,194.0,6.0,174.0,2.6,65,5.0057,0.814,1164.99
R_1i3WVbGWjxEcUQR,9,197.63,21.96,10.0,3.0,177.0,44.25,5,2.1972,6.3633,391.72
R_1i7Zoa74FWb4o89,15,351.11,23.41,15.0,30.0,150.0,15.0,14,3.7736,0.4811,906.6800000000001
R_1i83AJpfSwgHIZy,3,26.97,8.99,3.0,40.0,140.0,70.0,3,1.585,2.8584,1188.01
R_1i8uPeiHVhFcQB8,30,356.84,11.89,31.0,12.0,168.0,12.0,22,4.3232,1.3729,406.64
R_1i9ThcjqrGB9lJe,10,100.31,10.03,10.0,19.0,161.0,32.2,6,2.4464,3.1144,188.73
R_1ialJAQMSU9KEQG,1,9.99,9.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1iaosPVeRcMmmKi,3,78.13,26.04,3.0,100.0,80.0,40.0,3,1.585,0.0,343.55
R_1iaq7FI2JEgb6pO,5,52.18,10.44,5.0,36.0,144.0,72.0,5,2.3219,0.2983,0.0
R_1ifeyygtqm44laj,4,98.49,24.62,5.0,29.0,151.0,151.0,3,1.5,0.4376,0.0
R_1ig4LC2I0cwMCHk,38,933.78,24.57,39.0,3.0,177.0,7.7,25,4.3462,1.057,830.13
R_1igRFf1oVddAaGI,7,100.53,14.36,7.0,120.0,60.0,12.0,6,2.5216,0.0,243.79
R_1ik8stGviOCACC4,3,56.88,18.96,3.0,29.0,151.0,75.5,3,1.585,4.6937,21.5
R_1ikRVsVdVf29YNF,6,93.85,15.64,6.0,3.0,177.0,59.0,6,2.585,0.4035,0.0
R_1ikdkAXchDqOVwQ,12,277.57,23.13,12.0,133.0,47.0,11.75,10,3.2516,0.0,42.53
R_1imVDqpJwwARcp6,14,349.65,24.97,14.0,126.0,54.0,27.0,9,2.6995,0.0,0.0
R_1iqcSXu4qkF2xNw,23,714.97,31.09,24.0,26.0,154.0,19.25,16,3.7251,0.3716,1015.3399999999999
R_1j6t5KhjtwDhdKa,37,1172.62,31.69,42.0,11.0,169.0,6.5,15,3.5643,0.4437,868.61
R_1j8PHkCGCk2FOfq,6,264.92,44.15,6.0,19.0,161.0,53.67,4,1.7925,0.2557,30.23
R_1j94mEhxc5e1XDh,2,50.4,25.2,5.0,180.0,0.0,180.0,1,-0.0,0.0,436.71
R_1jARg5bGH5uqAKW,82,2465.87,30.07,84.0,5.0,175.0,3.65,49,5.3758,1.2861,2887.39
R_1jBvTaC81QY55pk,1,17.25,17.25,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1jImmHuCDaof0wB,8,130.29,16.29,8.0,79.0,101.0,20.2,6,2.4056,0.2563,184.17
R_1jJ7zL5b1XvIXY9,11,167.67,15.24,11.0,13.0,167.0,20.88,7,2.5503,1.0621,33.46
R_1jJTeJRVJse2Srk,7,35.02,5.0,7.0,160.0,20.0,20.0,1,-0.0,0.0,174.23
R_1jJn0A4AdcU2Cg7,10,128.83,12.88,11.0,23.0,157.0,52.33,5,1.771,26.1221,2785.01
R_1jK8fpyD6WOq8aI,6,66.95,11.16,6.0,44.0,136.0,68.0,4,1.7925,0.119,5.42
R_1jNXwv23Py7NoXB,10,195.38,19.54,12.0,12.0,168.0,28.0,8,2.9219,0.5334,322.17
R_1jO4s7oht3pyKEc,27,806.35,29.86,30.0,19.0,161.0,20.12,23,4.4306,1.8117,107.89
R_1jOkQwuwP2tGtx3,165,4045.26,24.52,187.0,4.0,176.0,3.45,87,5.7583,1.6404,2561.09
R_1jQdjjPKdhGdN26,10,131.77,13.18,11.0,16.0,164.0,54.67,7,2.5219,0.1328,9.99
R_1jUkyJVRdxgQkcJ,53,904.62,17.07,53.0,1.0,179.0,5.77,36,4.8643,0.3822,1274.3
R_1jUqdfR1Zz6mZMf,41,698.49,17.04,41.0,15.0,165.0,10.31,31,4.8026,0.7316,1246.71
R_1jYOsGh5TQW4Hsg,34,870.6,25.61,34.0,1.0,179.0,12.79,20,3.9842,0.4805,409.97
R_1jYW2D7olhp9W04,10,146.37,14.64,14.0,1.0,179.0,25.57,9,3.1219,3.3177,23.189999999999998
R_1jZkLNE1JdtyVpH,100,3940.98,39.41,119.0,1.0,179.0,4.59,37,4.7668,0.6038,3772.7999999999997
R_1ja0Vjb9ou6O0ul,25,497.46,19.9,26.0,6.0,174.0,34.8,14,3.4751,0.5248,143.32
R_1jcXRruIUSWWOb8,38,1652.18,43.48,38.0,1.0,179.0,9.94,12,2.9237,2.0993,2585.48
R_1jd0U0OjvEcZEcw,21,402.02,19.14,28.0,53.0,127.0,14.11,14,3.4585,0.3968,185.38
R_1jdLI5cWhAhAzSB,32,799.25,24.98,33.0,16.0,164.0,7.81,28,4.7028,1.1105,1450.3600000000001
R_1jdl7Yvsf9U7zKv,22,394.68,17.94,22.0,31.0,149.0,24.83,14,3.6978,0.4402,1464.56
R_1jebmENodGAJmzu,17,288.83,16.99,17.0,106.0,74.0,18.5,16,3.9698,0.0,639.27
R_1jfZY8E8Tu15CYY,1,155.64,155.64,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1jiXLH45lNweI9J,8,415.49,51.94,8.0,5.0,175.0,29.17,6,2.5,2.6877,544.28
R_1jizuM2MEMPZJU2,44,1357.03,30.84,50.0,4.0,176.0,7.04,32,4.8171,1.7637,1679.76
R_1jjPPOneRJdORrP,38,672.83,17.71,40.0,2.0,178.0,7.42,26,4.4687,0.5725,1035.48
R_1jk4bECcJYnwJ5x,6,162.2,27.03,6.0,101.0,79.0,26.33,4,1.7925,0.0,0.0
R_1jkUoMkIWYawY3v,15,233.15,15.54,16.0,69.0,111.0,18.5,9,2.9232,0.4579,1076.51
R_1joYJwAIb83oGBr,45,651.59,14.48,47.0,4.0,176.0,22.0,30,4.5939,1.3114,252.53
R_1jp1s9LC8U98QIR,20,323.69,16.18,21.0,17.0,163.0,16.3,17,3.9842,0.4641,499.91
R_1jpwyGaJv0ugsUf,12,232.07,19.34,12.0,41.0,139.0,139.0,9,3.0221,2.5902,0.0
R_1jqSPuZYWmB1gv6,5,72.52,14.5,5.0,26.0,154.0,38.5,5,2.3219,0.7291,7.98
R_1jqfjkbFjznk23R,87,2146.0,24.67,96.0,18.0,162.0,5.59,59,5.5893,0.3001,1037.7
R_1jrFqjJw9tz8yFW,33,474.8,14.39,33.0,6.0,174.0,13.38,20,3.6196,3.5977,166.5
R_1jrX9pmBJE4R3hF,9,175.59,19.51,11.0,11.0,169.0,33.8,7,2.6416,1.2633,223.66
R_1juAU46vkXUPxNs,5,75.91,15.18,5.0,45.0,135.0,33.75,4,1.9219,0.4115,274.71999999999997
R_1jvbQxV30XN8Ez0,9,117.21,13.02,9.0,15.0,165.0,27.5,5,2.1972,12.1845,79.93
R_1jxgzw29aqAAA49,18,916.21,50.9,57.0,8.0,172.0,19.11,16,3.9058,2.0183,990.62
R_1jxnSExkmLQ7kCE,15,1055.61,70.37,15.0,6.0,174.0,14.5,3,0.9056,0.4953,101.0
R_1jxrONSgbKndqJj,20,445.66,22.28,20.0,2.0,178.0,14.83,15,3.8219,3.6302,862.97
R_1jy9KfiKtvt9p6B,6,38.43,6.41,6.0,159.0,21.0,10.5,5,2.2516,0.0,54.19
R_1k0Q9IrJcX82jAz,57,1135.02,19.91,58.0,18.0,162.0,8.53,36,4.6948,0.3384,1022.9
R_1k0jNifwb1pjiE2,21,561.64,26.74,22.0,9.0,171.0,11.4,12,2.9385,0.5708,1102.72
R_1k1zPs6FKsqm1Ib,39,768.6,19.71,39.0,24.0,156.0,8.21,21,3.8485,1.4002,989.71
R_1kFTMrVOWJRG0PT,7,82.88,11.84,7.0,17.0,163.0,40.75,5,2.1281,0.8053,303.76
R_1kH84aqSUa33wik,17,462.56,27.21,17.0,15.0,165.0,18.33,13,3.4992,8.4496,807.29
R_1kHaryvxj1p3mTz,6,124.61,20.77,6.0,2.0,178.0,35.6,5,2.2516,1.5052,351.72
R_1kIbViWVBImEaHV,20,407.89,20.39,21.0,82.0,98.0,8.91,8,2.8037,0.6075,921.83
R_1kLdd31W284Angd,15,255.55,17.04,15.0,72.0,108.0,15.43,11,3.3232,0.0712,432.4
R_1kLeoSC7LizCbAS,8,121.35,15.17,8.0,75.0,105.0,52.5,5,2.1556,0.1614,0.0
R_1kLjiXMgVYmMlnt,8,138.07,17.26,8.0,155.0,25.0,25.0,8,3.0,0.0,0.0
R_1kMSPTD9ssCD0Qg,6,146.44,24.41,7.0,41.0,139.0,34.75,5,2.2516,1.1873,450.78999999999996
R_1kNwFGBAUSrxQP0,34,705.5,20.75,41.0,15.0,165.0,10.31,26,4.5136,0.9265,526.94
R_1kOBxcLVwsZHQ2N,12,312.32,26.03,12.0,16.0,164.0,54.67,9,3.0221,1.2643,441.63
R_1kSaHSB3r65fbKE,2,32.98,16.49,2.0,180.0,0.0,180.0,2,1.0,0.0,77.99
R_1kTGdXdVuqkznN1,4,195.41,48.85,4.0,87.0,93.0,46.5,3,1.5,0.2181,25.0
R_1kUKEv9Ixx51PVV,5,82.95,16.59,5.0,68.0,112.0,56.0,5,2.3219,1.4411,254.75
R_1kYqGRa5BwQ88E6,1,49.99,49.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1kYuVPgjXmEfSf8,87,1555.3,17.88,107.0,31.0,149.0,7.1,51,5.2727,0.2487,1138.12
R_1l4B7ylbckFqoCd,9,100.2,11.13,9.0,32.0,148.0,148.0,9,3.1699,0.5307,38.92999999999999
R_1l4zCtGUTvAWdS6,50,1128.64,22.57,55.0,7.0,173.0,7.52,33,4.7235,0.6785,1226.03
R_1l5XwZ4YjHH4eUg,1,29.58,29.58,2.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1l60ZBMh06nGSyP,6,382.1,63.68,6.0,21.0,159.0,39.75,6,2.585,0.181,829.88
R_1l6OglubZSTYfi3,19,404.35,21.28,19.0,5.0,175.0,19.44,17,4.0374,0.8776,909.66
R_1l6oxKA9uiM9GUo,2,79.52,39.76,2.0,26.0,154.0,154.0,2,1.0,0.1368,195.48
R_1l9N0JIJWZwxHSz,8,125.8,15.73,8.0,180.0,0.0,180.0,2,0.5436,0.0,160.99
R_1lAIBWf5Qsww7eT,29,468.09,16.14,29.0,9.0,171.0,10.06,15,3.4084,0.7276,708.16
R_1latJ8919AnBtf0,4,68.44,17.11,4.0,180.0,0.0,180.0,4,2.0,0.0,0.0
R_1lc5VhuuiYk1fRi,26,679.49,26.13,27.0,4.0,176.0,13.54,23,4.4406,1.0479,1170.94
R_1lcXq4p4fbbQqUl,3,38.89,12.96,3.0,22.0,158.0,79.0,3,1.585,12.0067,197.59
R_1lfNYOmsEIqOn65,35,663.53,18.96,41.0,9.0,171.0,9.0,24,4.3329,0.5171,928.04
R_1lgHUtzxBe9APYk,7,289.54,41.36,7.0,72.0,108.0,27.0,4,1.8424,0.0546,82.8
R_1lgUY99cBP0idWY,35,1224.67,34.99,36.0,1.0,179.0,11.93,8,2.0705,2.7693,3070.66
R_1lgeraQD2mZ2SDP,20,258.04,12.9,20.0,7.0,173.0,9.61,14,3.3394,0.4285,420.84999999999997
R_1lhEybvgNui8FOA,5,250.88,50.18,11.0,83.0,97.0,32.33,5,2.3219,0.566,495.1
R_1li5HiNnFHiD7yw,1,22.94,22.94,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1llCiaJVU2UiRyk,5,60.35,12.07,9.0,32.0,148.0,37.0,3,1.371,0.3918,18.99
R_1llE6a2soYDjvyv,11,150.65,13.7,12.0,5.0,175.0,19.44,10,3.2776,1.7351,762.7
R_1lmD7TvexZgvJfk,2,62.3,31.15,2.0,180.0,0.0,180.0,2,1.0,0.0,143.91
R_1lnsHboKUuTZZIO,23,328.0,14.26,25.0,5.0,175.0,21.88,17,3.8449,3.7039,539.73
R_1lo5uRr9KHuBy90,110,2281.98,20.75,132.0,5.0,175.0,5.47,68,5.4429,0.8323,2557.83
R_1lp1fif64G1hlWf,12,578.5,48.21,13.0,3.0,177.0,29.5,11,3.4183,0.6035,693.5
R_1lsP2wqcavnlqNP,14,458.41,32.74,20.0,30.0,150.0,37.5,8,2.8424,1.5197,156.54999999999998
R_1lsgykNxEU4BXTI,14,239.3,17.09,27.0,65.0,115.0,23.0,10,3.0931,0.5391,571.08
R_1ltxGPdvIgeKcV3,17,398.99,23.47,18.0,19.0,161.0,14.64,9,2.8222,0.6303,1007.21
R_1luTSUbcBgaFCl6,15,183.36,12.22,15.0,22.0,158.0,13.17,7,2.1736,0.1585,167.98000000000002
R_1lxYa2W6GgcAQ19,115,1618.54,14.07,118.0,1.0,179.0,3.58,63,5.3815,1.0341,2434.56
R_1lztobDYoYyZWKF,2,20.79,10.39,2.0,176.0,4.0,4.0,1,-0.0,0.0,0.0
R_1mC1GkAuzW7JKI5,1,10.99,10.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1mCArFpkZ7kWlAC,14,365.05,26.07,14.0,37.0,143.0,20.43,8,2.6385,0.0798,441.6
R_1mCn0fofYHi8GE9,9,131.72,14.64,9.0,91.0,89.0,44.5,5,1.88,0.0,0.0
R_1mCoq1CQXRu1pPq,40,619.14,15.48,43.0,41.0,139.0,9.27,28,4.5653,0.1526,193.99
R_1mCx1yadrDajX5p,9,74.8,8.31,9.0,76.0,104.0,104.0,4,1.7527,1.8802,76.96
R_1mDGRWnbj1blLnE,28,579.98,20.71,28.0,7.0,173.0,10.81,23,4.3788,3.3369,236.51
R_1mDjlyYfCts4tkF,24,286.31,11.93,26.0,2.0,178.0,44.5,21,4.335,0.2908,127.9
R_1mDwYDGIlYK1ixQ,17,493.98,29.06,18.0,1.0,179.0,22.38,9,2.9842,3.6123,102.45
R_1mEi3MqeroX89Wl,3,79.68,26.56,3.0,148.0,32.0,16.0,2,0.9183,0.0,10.97
R_1mEl7bQFxeR8t4T,1,14.95,14.95,1.0,180.0,0.0,180.0,1,-0.0,0.0,261.64
R_1mEmb9jWLRYCU4e,109,2810.35,25.78,123.0,1.0,179.0,3.38,72,5.8123,2.1119,3489.85
R_1mI2VIesV2bWn6N,11,193.91,17.63,11.0,9.0,171.0,17.1,3,1.3093,1.4091,240.86
R_1mICX7DrNVfVtgf,12,254.31,21.19,12.0,53.0,127.0,18.14,10,3.1887,1.6226,25.0
R_1mKnaXjPjypgoAA,8,100.32,12.54,10.0,14.0,166.0,41.5,5,2.25,5.2897,284.08000000000004
R_1mORsCmVhA1gSC0,20,472.84,23.64,20.0,17.0,163.0,18.11,14,3.6219,0.8722,577.73
R_1mOvgrdXye7PU81,13,958.81,73.75,20.0,27.0,153.0,21.86,10,3.1808,0.1741,583.6
R_1mQQFMBJoXxk4Zw,5,57.38,11.48,5.0,110.0,70.0,70.0,5,2.3219,0.0,0.0
R_1mQUNdA7gRaxdUg,13,192.06,14.77,15.0,2.0,178.0,25.43,6,2.1997,0.2514,101.24000000000001
R_1mQrQ5EFGvbBRLb,70,1191.0,17.01,74.0,4.0,176.0,5.87,45,5.1704,0.8835,2673.52
R_1mUW1hZcQUZI5jt,14,221.65,15.83,16.0,28.0,152.0,38.0,11,3.3788,2.3296,259.71
R_1me0lzzGKNICzOj,51,918.92,18.02,53.0,9.0,171.0,8.14,31,4.672,1.1295,2359.26
R_1meEApGTqRnvC4S,42,825.35,19.65,43.0,2.0,178.0,6.36,27,4.4813,1.3471,958.69
R_1meX9dBVU2swMtm,15,916.53,61.1,17.0,106.0,74.0,9.25,13,3.5899,0.0,945.9200000000001
R_1mebUZZHsgPDgzX,22,322.93,14.68,27.0,33.0,147.0,21.0,19,4.1524,1.3486,477.66
R_1mf98AYyqqPtPn7,9,215.57,23.95,9.0,57.0,123.0,30.75,9,3.1699,0.4974,257.56
R_1mfQPUpLqG4GsHt,16,315.29,19.71,17.0,12.0,168.0,16.8,12,3.375,0.3501,249.77
R_1mfuT6auftGhLUH,31,277.69,8.96,31.0,2.0,178.0,59.33,23,4.3736,0.6044,75.55
R_1mjVHaKO1NUsecO,1,11.56,11.56,1.0,180.0,0.0,180.0,1,-0.0,0.0,288.13
R_1mkC8WSOkIEioTC,3,49.36,16.45,3.0,77.0,103.0,51.5,3,1.585,0.2537,198.94
R_1mkjLIewa5Obhi4,1,34.0,34.0,1.0,180.0,0.0,180.0,1,-0.0,0.0,11.99
R_1mmfHbDmV4kYB0s,8,165.98,20.75,9.0,78.0,102.0,20.4,8,3.0,0.1661,78.72
R_1mqJlKX7N1NOaMS,60,843.91,14.07,62.0,7.0,173.0,5.97,33,4.6488,1.3108,1015.42
R_1mqSHLVL1TXQE6T,4,67.97,16.99,4.0,9.0,171.0,57.0,2,0.8113,0.4312,207.96
R_1mrt1zJj92qJsQN,2,39.94,19.97,2.0,136.0,44.0,44.0,2,1.0,0.0,143.75
R_1msVUYm2myweAcp,13,450.96,34.69,13.0,22.0,158.0,15.8,4,1.7272,0.3422,110.9
R_1msYd9aPVkQcY8T,10,158.75,15.88,10.0,16.0,164.0,23.43,5,1.961,3.7587,166.53
R_1msgjdqXJyBL8uJ,3,26.37,8.79,3.0,24.0,156.0,156.0,3,1.585,3.5387,663.12
R_1mt1xnQvlBNBWSY,7,188.24,26.89,7.0,29.0,151.0,30.2,6,2.5216,1.0208,324.27
R_1mwMGZGvmcaA4pd,12,167.45,13.95,12.0,3.0,177.0,22.12,10,3.2516,1.4618,186.03
R_1mxX9jjBSLwxiDU,17,143.17,8.42,17.0,9.0,171.0,19.0,6,1.8981,0.3725,275.48
R_1myeUpVwl79jE6X,18,270.87,15.05,18.0,5.0,175.0,21.88,18,4.1699,1.4794,221.54
R_1mzxeFCZSlcG18B,33,1287.96,39.03,33.0,38.0,142.0,6.17,23,4.3061,0.2263,1066.5
R_1n0dOD9WksQry1T,13,174.47,13.42,13.0,18.0,162.0,32.4,13,3.7004,0.0473,351.98
R_1n0nSAtvGuGWq79,6,116.76,19.46,6.0,5.0,175.0,35.0,5,2.2516,0.3612,43.650000000000006
R_1n1v2rlOuRZSVHe,13,221.52,17.04,13.0,14.0,166.0,15.09,10,3.2389,0.9077,195.45
R_1n2XyR9n5YE8q8W,17,620.15,36.48,20.0,23.0,157.0,19.62,11,3.2928,1.0774,811.85
R_1n6AsdImGHrq26m,10,257.84,25.78,10.0,41.0,139.0,27.8,8,2.9219,0.2073,2698.21
R_1n6GpJR7EUFnaWr,9,581.79,64.64,9.0,35.0,145.0,36.25,8,2.9477,0.1044,0.0
R_1n6oODT2QBAqqOO,17,506.59,29.8,19.0,15.0,165.0,15.0,14,3.6901,2.4045,1072.74
R_1n7TASZb65IwVOI,14,287.45,20.53,14.0,25.0,155.0,31.0,9,2.8963,0.1448,15.98
R_1n8BvyizxzPXoSE,13,605.28,46.56,13.0,44.0,136.0,15.11,13,3.7004,0.3822,332.78000000000003
R_1n8Ra4QBF4msgGV,4,43.35,10.84,4.0,14.0,166.0,166.0,4,2.0,2.2064,16.75
R_1n8h8059UUul8Dr,21,433.86,20.66,27.0,6.0,174.0,13.38,19,4.1659,0.1502,988.25
R_1n8k1q4epLdcZ6Z,6,69.02,11.5,6.0,24.0,156.0,78.0,3,1.2516,1.2344,63.17
R_1nOCRAcsi1AU77q,29,303.6,10.47,38.0,61.0,119.0,11.9,20,4.1852,0.1638,1735.24
R_1nOCbm9LVjgq65b,59,1187.43,20.13,60.0,5.0,175.0,4.86,26,3.6319,1.9612,797.95
R_1nORk4YlSycK1zx,12,259.42,21.62,14.0,26.0,154.0,25.67,9,3.0221,0.5009,25.939999999999998
R_1nSXVl0LaFfKuDi,27,489.88,18.14,27.0,1.0,179.0,10.53,18,3.8562,1.1802,301.54
R_1nSZ41dwhExEHOB,17,544.85,32.05,17.0,45.0,135.0,12.27,14,3.6901,0.8934,797.25
R_1nVqc225Z4eIuF5,3,51.99,17.33,3.0,80.0,100.0,100.0,2,0.9183,1.6716,59.99
R_1nW6XSWKs4hCzUa,86,2504.83,29.13,89.0,1.0,179.0,4.16,60,5.6427,0.7621,1913.63
R_1nZzu0Kj9WQ8P4x,20,357.85,17.89,31.0,15.0,165.0,41.25,12,3.2414,1.1326,374.77
R_1o4IsRkXnLlSU6K,105,2291.26,21.82,105.0,5.0,175.0,2.97,57,5.2064,1.3224,2489.48
R_1o4QBmClTTv8jkV,12,452.43,37.7,15.0,7.0,173.0,28.83,12,3.585,14.1062,435.69
R_1o6au5rOnBHoiU9,57,1403.72,24.63,59.0,7.0,173.0,13.31,44,5.2074,0.2943,398.02
R_1o76EOS42TBWhZ1,3,69.93,23.31,3.0,167.0,13.0,6.5,3,1.585,0.0,32.99
R_1o7MWFPepoKDkKh,15,336.13,22.41,15.0,108.0,72.0,24.0,11,3.3736,0.0,74.63
R_1o7tSCX9RpxAbC9,18,489.19,27.18,18.0,16.0,164.0,23.43,12,3.281,0.3543,190.12
R_1oAMGpojZBCuYA3,8,194.76,24.34,13.0,48.0,132.0,66.0,6,2.4056,0.0439,977.7
R_1oBAlEyCcdvHU6N,1,10.38,10.38,1.0,180.0,0.0,180.0,1,-0.0,0.0,22.36
R_1oFRyes3ggnKU4B,40,641.66,16.04,41.0,1.0,179.0,10.53,28,4.6531,0.7829,1392.24
R_1oFSDeGAQcUN2v8,49,1168.81,23.85,49.0,4.0,176.0,6.29,29,4.4282,0.9686,1323.27
R_1oGgkjm7HxJ8qBl,9,622.87,69.21,9.0,15.0,165.0,33.0,8,2.9477,4.7705,202.88000000000002
R_1oGw5Bp0BwUEDJc,8,139.04,17.38,8.0,42.0,138.0,34.5,8,3.0,0.2669,66.84
R_1oHfxbnrluT6eo4,7,83.77,11.97,7.0,85.0,95.0,31.67,7,2.8074,0.1936,0.0
R_1oHiQI5hcXpntpV,2,12.94,6.47,2.0,178.0,2.0,2.0,1,-0.0,0.0,22.47
R_1oI7uUUxS2QV8f8,101,2212.62,21.91,107.0,5.0,175.0,2.82,70,5.8215,1.2436,499.05
R_1ob8zZqeqvY3QFc,2,67.97,33.98,2.0,180.0,0.0,180.0,2,1.0,0.0,313.82
R_1obTvqaqyTDLSN2,15,248.15,16.54,15.0,43.0,137.0,15.22,11,3.2402,1.8875,133.1
R_1obsgZ53Sal9ZAu,4,72.95,18.24,4.0,150.0,30.0,15.0,4,2.0,0.0,62.400000000000006
R_1obwpb6iowh7vew,88,1053.69,11.97,89.0,3.0,177.0,5.36,48,5.0216,1.5415,1064.36
R_1ocN9papgWPG37j,31,574.15,18.52,31.0,30.0,150.0,30.0,22,4.2328,0.0616,309.49
R_1od3pz9nFmDAkiu,96,1742.49,18.15,106.0,1.0,179.0,3.25,60,5.3029,2.2823,3349.48
R_1odlzSMsCNFupb4,133,2528.46,19.01,143.0,5.0,175.0,3.37,55,4.8615,0.5813,978.0
R_1ogPEvMIjoSK6eE,1,65.95,65.95,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1oiNHhsqcjHyaxb,7,120.13,17.16,8.0,74.0,106.0,35.33,6,2.5216,0.5348,583.58
R_1ojO3nxlUuAWLyE,80,1006.85,12.59,82.0,1.0,179.0,12.79,43,4.9169,1.1062,1023.81
R_1ona5EOOGNmsNZI,3,129.97,43.32,3.0,164.0,16.0,16.0,3,1.585,0.0,40.68
R_1ooLwPR89VoxnlF,25,649.88,26.0,25.0,18.0,162.0,14.73,14,3.3134,5.9887,42.99
R_1opr0et32YrgTVb,3,37.48,12.49,3.0,1.0,179.0,179.0,3,1.585,3.9973,0.0
R_1oqo8TsBiNOQg4v,10,106.95,10.69,10.0,10.0,170.0,24.29,7,2.6464,1.4797,549.53
R_1ot2z2xc5wpqufx,37,616.78,16.67,37.0,7.0,173.0,9.11,23,4.0743,0.5587,140.17
R_1otq0g5FLSi9hVw,14,291.74,20.84,15.0,2.0,178.0,16.18,12,3.5216,0.4263,671.31
R_1ou69fj4DQGsVcp,6,26.41,4.4,6.0,151.0,29.0,7.25,5,2.2516,0.0,5.89
R_1ouMT1Wc1YZ5fWI,14,308.42,22.03,14.0,28.0,152.0,15.2,11,3.2359,1.2496,534.8
R_1ouRfsTlr2iWPge,93,2502.47,26.91,95.0,7.0,173.0,6.92,66,5.5256,0.1767,829.22
R_1ovTLgykjbQcYOB,87,2863.98,32.92,88.0,3.0,177.0,3.34,47,4.9395,2.1097,2777.94
R_1ovU2FdmDWK1ZHm,22,469.29,21.33,26.0,21.0,159.0,22.71,13,3.4429,0.2466,0.0
R_1ovW8kFNzyVw0Cx,20,517.64,25.88,21.0,1.0,179.0,19.89,15,3.5464,0.4026,761.96
R_1ovZlwoOEVQNF6w,23,709.27,30.84,23.0,54.0,126.0,10.5,14,3.5555,0.2265,281.72
R_1ovuYxa7VKAqqI6,17,221.21,13.01,17.0,4.0,176.0,17.6,11,2.9315,0.1787,251.98000000000002
R_1ow0Om61pqBADXh,12,273.35,22.78,14.0,50.0,130.0,21.67,11,3.4183,0.1048,86.92999999999999
R_1owkdABF1wNKFKI,31,407.4,13.14,31.0,8.0,172.0,9.05,16,3.4618,1.7184,371.71
R_1oz0v0ZOUMJu105,57,678.96,11.91,58.0,22.0,158.0,6.87,40,5.0413,0.6752,866.66
R_1pA325VZl0b6qNx,104,2334.43,22.45,106.0,13.0,167.0,3.04,57,5.2081,1.0468,3122.5099999999998
R_1pArVyCAH9yJD1X,27,328.45,12.16,28.0,57.0,123.0,8.79,18,3.8986,0.0145,84.94
R_1pDUHsNfwFbm6xw,67,1328.87,19.83,68.0,2.0,178.0,4.68,28,3.688,0.2885,755.83
R_1pDWbdAWjte1JTJ,51,1299.56,25.48,64.0,17.0,163.0,7.41,28,4.4345,3.8473,1174.6599999999999
R_1pEh9snKHmvLyFZ,6,50.41,8.4,6.0,39.0,141.0,70.5,4,1.7925,7.4157,92.31
R_1pFnsnm5zQGfh2E,2,74.99,37.5,2.0,180.0,0.0,180.0,2,1.0,0.0,0.0
R_1pGQGMurTlAloRf,91,1687.95,18.55,92.0,9.0,171.0,6.33,39,4.8869,0.5654,1288.5
R_1pKZVLBbrpZM8bP,71,1254.95,17.68,78.0,4.0,176.0,5.87,44,4.915,0.5598,2063.0
